Artist,Song title,Popularity Score,Lyrics
David Bowie,Ashes to Ashes - 2017 Remaster,62,"Do you remember a guy that's been
In such an early song?
I've heard a rumour from Ground Control
Oh no, don't say it's true

They got a message from the Action Man
""I'm happy, hope you're happy too
I've loved all I've needed, love
Sordid details following""

The shrieking of nothing is killing
Just pictures of Jap girls in synthesis
And I ain't got no money and I ain't got no hair
But I'm hoping to kick but the planet is glowing

Ashes to ashes, funk to funky
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Dolly Parton,9 to 5,76,"Tumble out of bed
Then I stumble to the kitchen
Pour myself a cup of ambition
And yawn and stretch and try to come to life

Jump in the shower
And the blood starts pumpin'
Out on the streets, the traffic starts jumpin'
For folks like me on the job from nine to five

Workin' nine to five
What a way to make a livin'
Barely gettin' by
It's all takin' and no givin'
They just use your mind
And they never give you credit
It's enough to drive you crazy if you let it

Nine to five
For service and devotion
You would think that I
Would deserve a fat promotion
Want to move ahead
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Queen,Save Me - Remastered 2011,51,"It started off so well
They said we made a perfect pair
I clothed myself in your glory and your love
How I loved you
How I cried
The years of care and loyalty
Were nothing but a sham, it seems
The years belie we lived a lie
I love you till I die

Save me, save me, save me
I can't face this life alone
Save me, save me, save me
I'm naked and I'm far from home

The slate will soon be clean
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
REO Speedwagon,Keep on Loving You,71,"You should've seen by the look in my eyes, baby
There was somethin missin
You should've known by the tone of my voice, maybe
But you didn't listen
You played dead
But you never bled
Instead you lay still in the grass
All coiled up and hissin
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Barbra Streisand,Woman in Love,68,"Life is a moment in space
When the dream is gone, it's a lonelier place
I kiss the morning goodbye
But down inside, you know we never know why

The road is narrow and long
When eyes meet eyes, and the feeling is strong
I turn away from the wall
I stumble and fall, but I give you it all

I am a woman in love
And I'll do anything to get you into my world
And hold you within
It's a right I defend
Over and over again
What do I do?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Madness,Baggy Trousers,33,"Naughty boys in nasty schools
Headmasters breaking all the rules
Having fun and playing fools
Smashing up the woodwork tools

All the teachers in the pub
Passing 'round the ready rub
Trying not to think of when
The lunchtime bell will ring again

Oh, what fun we had
But did it really turn out bad?
All I learnt at school
Was how to bend not break the rules

Oh, what fun we had
But at the time it seemed so bad
Trying different ways
To make a difference to the days

Headmaster's had enough today
All the kids have gone away
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Barbra Streisand,Guilty (feat. Barry Gibb),67,"H-a-a-a-a
Shadows falling baby we stand alone
Out on the street anybody you meet got a heartache of their own
(It oughta be illegal)
Make it a crime to be lonely or sad
(It oughta be illegal)
You got a reason for livin'
You battle on with the love you're livin' on
You gotta be mine... we take it away
It's gotta be night and day just a matter of time
And we got nothing to be guilty of
Our love will climb any mountain near or far we are
And we never let it end...
We are devotion
And we got nothing to be sorry for
Our love is one in a million
Eyes can see that we... got a highway to the sky...
I don't wanna hear your goodbye
A-a-a-h
Ooh... woo... ooh...

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Peter Gabriel,Biko,36,"September '77
Port Elizabeth weather fine
It was business as usual
In police room 619
Oh Biko, Biko, because Biko
Oh Biko, Biko, because Biko
Yihla Moja, Yihla Moja
-The man is dead

When I try to sleep at night
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Paul Simon,Late in the Evening,58,"First thing I remember, I was lying in my bed
Couldn't've been no more than one or two
And I remember there's a radio comin' from the room next door
And my mother laughed the way some ladies do
When it's late in the evening
And the music's seeping through

The next thing I remember, I am walking down the street
I'm feeling alright, I'm with my boys, I'm with my troops, yeah
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Orchestral Manoeuvres In The Dark,Enola Gay - Remastered,65,"Enola Gay
You should have stayed at home yesterday
Uh-huh, words can't describe
The feeling and the way you lied

These games you play
They're gonna end in more than tears someday
Uh-huh, Enola Gay
It shouldn't ever have to end this way

It's 8:15
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Stevie Wonder,Master Blaster (Jammin'),61,"Everyone's feeling pretty
It's hotter than July
Though the world's full of problems
They couldn't touch us even if they tried
From the park, I hear rhythms
Marley's hot on the box
Tonight, there will be a party
On the corner at the end of the block

Didn't know you
Would be jamming until the break of dawn
I bet nobody ever told you that you
Would be jamming until the break of dawn
You would be jamming and jamming and jamming, jam on

They want us to join their fighting
But our answer today
Is to let all our worries
Like the breeze through our fingers slip away
Peace has come to Zimbabwe
Third World's right on the one
Now's the time for celebration
Because we've only just begun

Didn't know you
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Phil Collins,In The Air Tonight - 2015 Remastered,77,"I can feel it coming in the air tonight
Oh, Lord
And I've been waiting for this moment, for all my life
Oh, Lord
Can you feel it coming in the air tonight?
Oh, Lord
Oh, Lord

Well, if you told me you were drowning
I would not lend a hand
I've seen your face before my friend
But I don't know if you know who I am

Well, I was there and I saw what you did
I saw it with my own two eyes
So you can wipe off that grin
I know where you've been
It's all been a pack of lies

And I can feel it coming in the air tonight
Oh, Lord
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Journey,Don't Stop Believin',80,"Just a small town girl
Livin' in a lonely world
She took the midnight train going anywhere
Just a city boy
Born and raised in South Detroit
He took the midnight train going anywhere

A singer in a smokey room
A smell of wine and cheap perfume
For a smile they can share the night
It goes on and on and on and on

Strangers waitin'
Up and down the boulevard
Their shadows searchin' in the night
Streetlights, people
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Rolling Stones,Start Me Up - Remastered,76,"If you start me up
If you start me up I'll never stop
If you start me up
If you start me up I'll never stop

I've been running hot
You got me ticking, going to blow my top
If you start me up
If you start me up I'll never stop
Never stop, never stop, never stop

You make a grown man cry
You make a grown man cry
You make a grown man cry
Spread out the oil, the gasoline
I walk in smooth, ride in a mean, mean machine

Start it up
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Rolling Stones,Waiting On A Friend - Remastered 2009,58,"Watching girls go passing by
It ain't that latest thing
I'm just standing in a doorway
I'm just trying to make some sense

Out of these girls go passing by
The tales they tell of men
I'm not waiting on a lady
I'm just waiting on a friend

A smile relieves a heart that grieves
Remember what I said
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Barbra Streisand,Memory,56,"Midnight, not a sound from the pavement
Has the moon lost her memory?
She is smiling alone
In the lamplight, the withered leaves collect at my feet
And the wind begins to moan

Memory, all alone in the moonlight
I can dream of the old days
Life was beautiful then
I remember the time I knew what happiness was
Let the memory live again
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Babys,Everytime I Think of You - 2000 Remaster,35,"Everytime I think of you
It always turns out good
Everytime I've held you
I thought you understood

People say a love like ours
Will surely pass
But I know a love like ours
Will last and last

But maybe I was wrong, not knowing how our love should go
(How our love, how our love should go?)
But I wasn't wrong in knowing, how our love would grow
(How our love, how our love would grow?)

And everytime I think of you
(Everytime)
Everytime I think of you
(Every single time)
It always turns out good
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Jon & Vangelis,I'll Find My Way Home - Remastered,43,"You ask me where to begin
Am I so lost in my sin
You ask me where did I fall
I'll say I can't tell you when
But if my spirit is lost
How will I find what is near
Don't question I'm not alone
Somehow I'll find my way home

My sun shall rise in the east
So shall my heart be at peace
And if you're asking me when
I'll say it starts at the end
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
